主鍵,交易日期,時間,股票代號,股票名稱,股票排名,累計買進張數,累計賣出張數,累計買賣超,時段買進張數,時段賣出張數,時段買賣超,時段買超,時段買超差,時段賣超,時段賣超差,時段買超家數,時段賣超家數,買超率,賣超率
2026/1/2-10-6265,2026/1/2,10,6265,方土昶,1,32678,34244,-1566,32678,34244,-1566,5709,,7275,,4,6,0.17,0.22
2026/1/2-10-8358,2026/1/2,10,8358,金居,2,21582,24637,-3055,21582,24637,-3055,242,,3297,,3,7,0.01,0.15
2026/1/2-10-1815,2026/1/2,10,1815,富喬,3,22538,24022,-1484,22538,24022,-1484,4968,,6452,,5,5,0.21,0.29
2026/1/2-10-5351,2026/1/2,10,5351,鈺創,4,25002,22277,2725,25002,22277,2725,7119,,4394,,5,5,0.32,0.18
2026/1/2-10-3264,2026/1/2,10,3264,欣銓,5,20663,21880,-1217,20663,21880,-1217,1713,,2930,,5,5,0.08,0.14
2026/1/2-10-3624,2026/1/2,10,3624,光頡,6,19531,20804,-1273,19531,20804,-1273,1692,,2965,,4,6,0.08,0.15
2026/1/2-10-6127,2026/1/2,10,6127,九豪,7,11940,11329,611,11940,11329,611,1643,,1032,,4,6,0.15,0.09
2026/1/2-10-3236,2026/1/2,10,3236,千如,8,7974,8608,-634,7974,8608,-634,474,,1108,,4,6,0.06,0.14
2026/1/2-10-4979,2026/1/2,10,4979,華星光,9,7930,8316,-386,7930,8316,-386,719,,1105,,5,5,0.09,0.14
2026/1/2-10-8064,2026/1/2,10,8064,東捷,10,7034,7306,-272,7034,7306,-272,585,,857,,4,6,0.08,0.12
2026/1/2-10-8431,2026/1/2,10,8431,匯鑽科,11,5709,6171,-462,5709,6171,-462,645,,1107,,4,6,0.10,0.19
2026/1/2-10-8043,2026/1/2,10,8043,蜜望實,12,5260,5514,-254,5260,5514,-254,391,,645,,5,5,0.07,0.12
2026/1/2-10-5452,2026/1/2,10,5452,佶優,13,5570,5050,520,5570,5050,520,773,,253,,6,4,0.15,0.05
2026/1/2-10-3402,2026/1/2,10,3402,漢科,14,4653,5210,-557,4653,5210,-557,668,,1225,,4,6,0.13,0.26
2026/1/2-10-8096,2026/1/2,10,8096,擎亞,15,4774,4657,117,4774,4657,117,733,,616,,4,6,0.16,0.13
2026/1/2-10-6548,2026/1/2,10,6548,長科*,16,4429,4487,-58,4429,4487,-58,641,,699,,5,5,0.14,0.16
2026/1/2-10-3105,2026/1/2,10,3105,穩懋,17,4289,4264,25,4289,4264,25,908,,883,,5,5,0.21,0.21
2026/1/2-10-8074,2026/1/2,10,8074,鉅橡,18,4244,4388,-144,4244,4388,-144,818,,962,,3,7,0.19,0.23
2026/1/2-10-6173,2026/1/2,10,6173,信昌電,19,3986,4316,-330,3986,4316,-330,471,,801,,4,6,0.11,0.20
2026/1/2-10-3455,2026/1/2,10,3455,由田,20,4195,4007,188,4195,4007,188,849,,661,,5,5,0.21,0.16
2026/1/2-10-3709,2026/1/2,10,3709,鑫聯大投控,21,4424,4137,287,4424,4137,287,1324,,1037,,4,6,0.32,0.23
2026/1/2-10-1785,2026/1/2,10,1785,光洋科,22,3724,3881,-157,3724,3881,-157,539,,696,,4,6,0.14,0.19
2026/1/2-10-5328,2026/1/2,10,5328,華容,23,3339,3120,219,3339,3120,219,989,,770,,4,6,0.32,0.23
2026/1/2-10-6163,2026/1/2,10,6163,華電網,24,3553,3343,210,3553,3343,210,612,,402,,5,5,0.18,0.11
2026/1/2-10-4772,2026/1/2,10,4772,台特化,25,3118,2969,149,3118,2969,149,600,,451,,4,6,0.20,0.14
