115年01月13日 截至13:46止 熱門股證券商進出排行(等價整股由大而小排列),,,
排行,股票名稱(代號) ,,
排行, 證商名稱,總買量(張) ,總賣量(張) 
1,華電網(6163),,
1,元大,15130,13707
2,凱基,10033,10764
3,富邦,8396,10687
4,永豐金,5836,5413
5,群益,3738,3794
6,國泰綜合,3747,3336
7,統一,2508,3662
8,華南永昌,2191,2228
9,兆豐,2307,2008
10,台新,2309,1965
2,世界(5347),,
1,元大,9933,10003
2,凱基,5639,8888
3,群益,4501,7965
4,摩根士丹利,8825,332
5,國票,2836,6204
6,富邦,5213,2310
7,統一,2173,5136
8,星洲瑞銀,3364,3809
9,國泰綜合,2154,2640
10,永豐金,1881,2396
3,富喬(1815),,
1,元大,13215,12301
2,凱基,7309,7275
3,富邦,6345,5379
4,國泰綜合,3963,3553
5,永豐金,3335,2589
6,群益,2728,2894
7,星洲瑞銀,1874,2488
8,統一,1805,2037
9,元富,1603,1689
10,兆豐,2010,1236
4,品安(8088),,
1,凱基,11598,11146
2,元大,10142,10796
3,富邦,5721,5274
4,國泰綜合,1916,2487
5,永豐金,2303,1851
6,群益,1644,1662
7,華南永昌,1563,1360
8,元富,1324,1367
9,台新,1062,1422
10,美商高盛亞,1092,1091
5,茂迪(6244),,
1,元大,8296,8593
2,凱基,5032,4848
3,富邦,4864,4765
4,國泰綜合,2631,2699
5,群益,2144,2289
6,永豐金,2179,2139
7,元富,1481,1644
8,華南永昌,1336,1465
9,兆豐,1374,1302
10,台新,1166,1069
6,穩懋(3105),,
1,元大,8400,6882
2,凱基,5033,7868
3,富邦,3766,3350
4,永豐金,2865,1648
5,國泰綜合,2609,1653
6,群益,2457,1447
7,美商高盛亞,678,2929
8,華南永昌,1590,1038
9,星洲瑞銀,212,2281
10,元富,1322,1154
7,台半(5425),,
1,元大,6855,9841
2,凱基,5395,4165
3,富邦,1386,3634
4,國泰綜合,2744,1899
5,群益,1528,2134
6,永豐金,1664,1948
7,兆豐,2109,1473
8,統一,1839,1416
9,元富,1121,1685
10,華南永昌,1300,1382
8,合晶(6182),,
1,元大,5874,5419
2,凱基,3274,3404
3,富邦,2740,2541
4,美商高盛亞,1223,1830
5,國泰綜合,1191,1454
6,永豐金,1245,1292
7,群益,1221,1200
8,星洲瑞銀,990,1324
9,元富,957,970
10,華南永昌,943,759
9,華星光(4979),,
1,元大,3977,3485
2,凱基,3388,2876
3,永豐金,2034,1697
4,富邦,1879,1795
5,群益,984,1457
6,國泰綜合,1134,1253
7,元富,745,1177
8,華南永昌,888,1011
9,美商高盛亞,1048,777
10,統一,652,1009
10,新復興(4909),,
1,元大,4373,4064
2,凱基,1936,2744
3,富邦,1624,1259
4,國泰綜合,1296,1038
5,群益,1014,1020
6,永豐金,965,930
7,統一,665,1119
8,華南永昌,941,636
9,台新,741,661
10,元富,562,505
11,康和證(6016),,
1,元大,2204,2540
2,凱基,1747,2044
3,富邦,1240,2277
4,永豐金,1407,2029
5,國票,1754,1066
6,兆豐,1031,810
7,群益,553,765
8,美林證券,1218,58
9,華南永昌,720,479
10,統一,585,607
12,東捷(8064),,
1,元大,1820,3282
2,凱基,2272,2064
3,富邦,1999,1980
4,群益,727,940
5,元富,603,1016
6,華南永昌,925,688
7,美林證券,1319,20
8,永豐金,521,742
9,星洲瑞銀,1107,150
10,統一,459,578
13,廣穎(4973),,
1,元大,2922,2624
2,凱基,2002,1956
3,富邦,1711,1614
4,永豐金,830,736
5,國票,361,1087
6,美商高盛亞,618,781
7,群益,694,642
8,國泰綜合,654,636
9,台新,562,463
10,華南永昌,590,427
14,鉅橡(8074),,
1,元大,2555,2932
2,凱基,1945,1648
3,富邦,1272,1440
4,國泰綜合,942,1290
5,永豐金,785,801
6,群益,685,682
7,統一,590,624
8,華南永昌,577,590
9,美商高盛亞,817,340
10,合庫,452,518
15,環宇-KY(4991),,
1,元大,2683,1983
2,凱基,1947,2531
3,富邦,1055,951
4,永豐金,964,695
5,國泰綜合,1019,529
6,美林證券,1055,475
7,統一,455,789
8,群益,544,606
9,台新,402,673
10,元富,694,368
16,萬泰科(6190),,
1,元大,2499,2424
2,凱基,1804,1580
3,富邦,1378,1705
4,國泰綜合,736,785
5,群益,660,698
6,華南永昌,522,632
7,兆豐,563,566
8,永豐金,592,463
9,元富,399,636
10,美商高盛亞,439,508
17,台星科(3265),,
1,元大,2290,2884
2,凱基,2129,1765
3,富邦,961,1128
4,永豐金,906,649
5,國泰綜合,546,569
6,群益,472,640
7,兆豐,404,563
8,元富,495,467
9,星洲瑞銀,519,354
10,台新,399,440
18,精材(3374),,
1,元大,2719,2295
2,凱基,1540,1711
3,永豐金,973,1350
4,富邦,1163,1011
5,群益,744,1003
6,國泰綜合,734,603
7,美商高盛亞,467,699
8,元富,401,693
9,統一,319,559
10,台新,427,303
19,富強鑫(6603),,
1,元大,2361,1891
2,凱基,1238,1687
3,富邦,912,1240
4,永豐金,1028,763
5,華南永昌,620,829
6,元富,705,316
7,國泰綜合,575,438
8,中國信託證,342,588
9,群益,454,437
10,新光,285,527
20,光洋科(1785),,
1,元大,2557,2493
2,凱基,1409,1389
3,富邦,1087,1088
4,星洲瑞銀,719,422
5,永豐金,491,609
6,國泰綜合,581,414
7,統一,504,480
8,群益,472,443
9,兆豐,486,287
10,元富,257,442
21,台燿(6274),,
1,元大,1953,1891
2,凱基,1432,1358
3,富邦,916,862
4,星洲瑞銀,317,867
5,統一,309,824
6,國泰綜合,539,445
7,群益,505,389
8,永豐金,463,409
9,元富,450,378
10,美商高盛亞,319,306
22,環球晶(6488),,
1,元大,1859,2036
2,凱基,1081,1792
3,摩根大通,1427,219
4,富邦,614,764
5,永豐金,457,419
6,群益,432,400
7,國泰綜合,415,389
8,華南永昌,310,485
9,星洲瑞銀,256,387
10,花旗環球,487,114
23,光頡(3624),,
1,元大,1976,1838
2,凱基,1322,1002
3,永豐金,987,780
4,富邦,787,927
5,元富,514,537
6,國泰綜合,430,571
7,群益,349,543
8,華南永昌,385,384
9,美商高盛亞,400,346
10,兆豐,196,333
24,蜜望實(8043),,
1,元大,1632,1918
2,凱基,898,818
3,永豐金,908,744
4,富邦,618,863
5,國泰綜合,478,732
6,星洲瑞銀,742,164
7,康和,683,68
8,群益,303,351
9,統一,347,251
10,玉山證券,244,353
25,九豪(6127),,
1,元大,1788,2261
2,凱基,1221,705
