115年02月04日 截至10:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","富喬(1815)"
"1","元大","8512","9331"
"2","凱基","4984","5445"
"3","富邦","3310","4428"
"4","國泰綜合","3017","1416"
"5","星洲瑞銀","415","3415"
"6","群益","2003","1592"
"7","永豐金","2004","1375"
"8","華南永昌","1632","589"
"9","元富","1344","652"
"10","玉山證券","1357","501"
"2","世界(5347)"
"1","富邦","7851","7542"
"2","元大","6746","4187"
"3","統一","2059","2276"
"4","凱基","2161","1622"
"5","國票","717","3063"
"6","美商高盛亞","398","2965"
"7","摩根士丹利","951","2170"
"8","摩根大通","2174","675"
"9","兆豐","753","2008"
"10","群益","962","1463"
"3","茂迪(6244)"
"1","元大","2803","4230"
"2","富邦","5157","1571"
"3","凱基","4308","1912"
"4","台新","283","2638"
"5","永豐金","1604","651"
"6","群益","744","1338"
"7","元富","861","713"
"8","華南永昌","345","776"
"9","國泰綜合","379","605"
"10","國票","126","810"
"4","環宇-KY(4991)"
"1","元大","4107","4749"
"2","凱基","1457","1112"
"3","富邦","656","1222"
"4","美林證券","1701","33"
"5","港商野村","1489","0"
"6","群益","291","697"
"7","永豐金","302","590"
"8","統一","240","573"
"9","國泰綜合","191","608"
"10","兆豐","125","517"
"5","凱崴(5498)"
"1","元大","2695","2040"
"2","凱基","1395","2516"
"3","富邦","1627","527"
"4","永豐金","713","689"
"5","摩根大通","0","1341"
"6","國泰綜合","850","422"
"7","華南永昌","650","380"
"8","美商高盛亞","175","827"
"9","群益","570","416"
"10","星洲瑞銀","78","884"
"6","華星光(4979)"
"1","元大","2302","2833"
"2","凱基","2022","1702"
"3","富邦","705","979"
"4","永豐金","578","840"
"5","國泰綜合","671","683"
"6","群益","630","533"
"7","兆豐","563","450"
"8","美商高盛亞","301","516"
"9","新光","439","288"
"10","元富","380","311"
"7","威剛(3260)"
"1","凱基","2198","1390"
"2","元大","1543","1463"
"3","富邦","786","510"
"4","群益","698","502"
"5","星洲瑞銀","407","528"
"6","永豐金","477","393"
"7","摩根大通","500","327"
"8","國泰綜合","421","266"
"9","花旗環球","53","546"
"10","華南永昌","203","269"
"8","中探針(6217)"
"1","元大","1799","1766"
"2","凱基","729","1143"
"3","富邦","836","553"
"4","永豐金","871","430"
"5","統一","269","780"
"6","群益","453","533"
"7","美商高盛亞","139","605"
"8","國泰綜合","519","185"
"9","元富","512","149"
"10","國票","97","536"
"9","台嘉碩(3221)"
"1","元大","1594","1793"
"2","凱基","1086","951"
"3","富邦","534","609"
"4","永豐金","310","610"
"5","新光","436","319"
"6","國泰綜合","449","297"
"7","群益","364","291"
"8","元富","224","419"
"9","兆豐","379","244"
"10","美商高盛亞","269","315"
"10","穩懋(3105)"
"1","元大","1403","1515"
"2","凱基","736","1025"
"3","富邦","606","364"
"4","美商高盛亞","289","572"
"5","永豐金","474","303"
"6","台新","225","479"
"7","群益","288","413"
"8","國泰綜合","459","200"
"9","摩根大通","188","374"
"10","華南永昌","279","111"
"11","方土昶(6265)"
"1","元大","1371","1461"
"2","凱基","940","738"
"3","美商高盛亞","406","583"
"4","星洲瑞銀","477","388"
"5","永豐金","448","335"
"6","富邦","343","402"
"7","玉山證券","365","221"
"8","國泰綜合","185","401"
"9","群益","299","279"
"10","華南永昌","213","225"
"12","鉅橡(8074)"
"1","元大","1463","1212"
"2","凱基","1139","914"
