"115年03月26日 截至10:00止 热门股券商进出排行(等价整股由大而小排列)"
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","富喬(1815)"
"1","元大","10860","13878"
"2","凱基","7241","6333"
"3","富邦","6043","6167"
"4","永豐金","3026","3728"
"5","國泰綜合","2702","4050"
"6","群益","2240","2897"
"7","統一","3157","1610"
"8","港商野村","4413","0"
"9","星洲瑞銀","2818","755"
"10","元富","1665","1645"
"2","華星光(4979)"
"1","元大","1497","2807"
"2","富邦","2019","1885"
"3","凱基","2104","1544"
"4","國泰綜合","532","1005"
"5","兆豐","835","477"
"6","統一","892","325"
"7","港商野村","1060","73"
"8","永豐金","374","732"
"9","群益","392","631"
"10","美林證券","897","56"
"3","世界(5347)"
"1","元大","3937","2311"
"2","凱基","777","2191"
"3","富邦","1564","1122"
"4","統一","1762","275"
"5","新光","1569","311"
"6","國票","737","297"
"7","兆豐","92","937"
"8","永豐金","133","853"
"9","國泰綜合","223","697"
"10","群益","296","489"
"4","順達(3211)"
"1","元大","1707","2523"
"2","富邦","2093","1252"
"3","凱基","1494","1558"
"4","永豐金","719","1142"
"5","統一","919","339"
"6","群益","498","693"
"7","國泰綜合","344","594"
"8","華南永昌","382","553"
"9","台新","544","280"
"10","摩根士丹利","686","122"
"5","聯光通(4903)"
"1","元大","3128","2838"
"2","凱基","1174","2153"
"3","富邦","1032","886"
"4","群益","857","765"
"5","永豐金","691","904"
"6","兆豐","424","631"
"7","華南永昌","435","595"
"8","統一","250","678"
"9","新光","723","175"
"10","台新","421","241"
"6","光洋科(1785)"
"1","元大","2036","2217"
"2","凱基","1296","1201"
"3","富邦","574","1710"
"4","永豐金","1184","474"
"5","美商高盛亞","753","518"
"6","國泰綜合","540","598"
"7","新光","766","321"
"8","摩根大通","359","570"
"9","星洲瑞銀","662","172"
"10","群益","345","421"
"7","頎邦(6147)"
"1","元大","1123","2403"
"2","凱基","1384","1526"
"3","富邦","933","1410"
"4","永豐金","1039","720"
"5","國票","890","214"
"6","元富","647","420"
"7","國泰綜合","587","399"
"8","群益","507","382"
"9","星洲瑞銀","490","305"
"10","兆豐","269","459"
"8","新盛力(4931)"
"1","元大","1831","1600"
"2","凱基","1277","1363"
"3","富邦","935","775"
"4","群益","1105","558"
"5","國泰綜合","704","476"
"6","永豐金","472","655"
"7","華南永昌","577","373"
"8","美商高盛亞","340","573"
"9","兆豐","333","440"
"10","元富","331","416"
"9","金居(8358)"
"1","元大","1805","2123"
"2","凱基","1402","1151"
"3","國泰綜合","548","552"
"4","國票","902","161"
"5","永豐金","699","357"
"6","富邦","416","572"
"7","美商高盛亞","569","403"
"8","華南永昌","241","641"
"9","群益","304","480"
"10","摩根士丹利","162","602"
"10","擎亞(8096)"
"1","元大","2242","2113"
"2","凱基","795","1792"
"3","富邦","816","598"
