115年04月02日 截至11:26止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","頎邦(6147)"
"1","凱基","15436","9165"
"2","元大","10628","13362"
"3","富邦","12462","7817"
"4","統一","6679","3426"
"5","國票","3795","4915"
"6","永豐金","4821","3682"
"7","國泰綜合","2785","2293"
"8","群益","1377","3119"
"9","摩根士丹利","2039","1680"
"10","華南永昌","715","2322"
"2","穩懋(3105)"
"1","元大","11692","11460"
"2","凱基","4443","4682"
"3","國泰綜合","3124","2998"
"4","富邦","2364","3107"
"5","永豐金","2344","2973"
"6","群益","2492","2171"
"7","台新","1109","1163"
"8","華南永昌","897","1369"
"9","統一","925","1286"
"10","兆豐","984","1190"
"3","威剛(3260)"
"1","元大","5345","4739"
"2","凱基","2380","2654"
"3","富邦","1838","1678"
"4","摩根大通","705","2120"
"5","國泰綜合","1507","970"
"6","永豐金","1115","812"
"7","群益","819","912"
"8","元富","861","677"
"9","統一","590","870"
"10","華南永昌","835","532"
"4","光洋科(1785)"
"1","元大","3411","3082"
"2","凱基","1751","2165"
"3","富邦","1720","807"
"4","國泰綜合","1272","753"
"5","新光","517","1438"
"6","星洲瑞銀","838","954"
"7","永豐金","1028","683"
"8","美商高盛亞","104","1456"
"9","群益","883","542"
"10","兆豐","615","600"
"5","富喬(1815)"
"1","元大","4045","3895"
"2","凱基","1621","2260"
"3","富邦","1435","1122"
"4","國泰綜合","1230","986"
"5","永豐金","731","936"
"6","元富","407","923"
"7","群益","695","634"
"8","美商高盛亞","736","589"
"9","台新","676","550"
"10","華南永昌","666","342"
"6","欣銓(3264)"
"1","元大","3200","3111"
"2","凱基","1775","2078"
"3","富邦","1709","994"
"4","美商高盛亞","859","1057"
"5","群益","796","924"
"6","國泰綜合","890","713"
"7","永豐金","701","784"
"8","統一","801","597"
"9","台新","443","638"
"10","元富","582","341"
"7","世界(5347)"
"1","凱基","1454","2529"
"2","元大","2264","1573"
"3","富邦","718","2006"
"4","新光","290","1877"
"5","星洲瑞銀","1774","148"
"6","群益","1384","433"
"7","摩根士丹利","405","1367"
"8","美林證券","99","938"
"9","永豐金","734","149"
"10","美商高盛亞","313","543"
"8","鈦昇(8027)"
"1","元大","3207","3004"
"2","凱基","1318","2807"
"3","富邦","1351","1745"
"4","群益","824","648"
"5","永豐金","767","671"
"6","國泰綜合","805","601"
"7","星洲瑞銀","562","426"
"8","美商高盛亞","630","301"
"9","台新","474","236"
"10","摩根士丹利","268","365"
"9","鈺創(5351)"
"1","元大","2705","1573"
"2","凱基","1204","2291"
"3","富邦","1396","827"
"4","摩根大通","271","1234"
"5","國泰綜合","997","504"
"6","群益","738","692"
"7","星洲瑞銀","121","1161"
"8","永豐金","866","306"
"9","華南永昌","566","442"
"10","摩根士丹利","9","934"
"10","台燿(6274)"
"1","元大","2617","3045"
"2","凱基","1425","1750"
"3","富邦","779","884"
"4","國泰綜合","804","595"
"5","群益","601","665"
"6","永豐金","459","523"
"7","星洲瑞銀","382","457"
"8","元富","392","442"
"9","美商高盛亞","407","420"
"10","兆豐","363","408"
"11","擎亞(8096)"
"1","元大","2618","2914"
"2","凱基","1167","1628"
"3","富邦","881","1142"
"4","國泰綜合","959","620"
"5","群益","653","745"
"6","永豐金","609","575"
"7","華南永昌","492","444"
"8","台新","579","327"
"9","統一","236","509"
"10","美商高盛亞","306","356"
"12","台嘉碩(3221)"
"1","元大","2082","1994"
"2","凱基","953","1461"
"3","富邦","882","879"
"4","國泰綜合","650","560"
"5","永豐金","544","629"
"6","台新","369","500"
"7","華南永昌","516","315"
"8","統一","235","591"
"9","群益","435","376"
"10","玉山證券","414","208"
"13","金居(8358)"
"1","元大","2252","2379"
"2","凱基","1224","1441"
"3","富邦","679","655"
"4","永豐金","451","382"
"5","國泰綜合","506","305"
"6","群益","434","302"
"7","中國信託證","254","269"
"8","統一","206","275"
"9","美商高盛亞","166","296"
"10","華南永昌","218","237"
"14","九豪(6127)"
"1","元大","2004","1752"
"2","凱基","1080","1135"
"3","富邦","726","859"
"4","永豐金","328","641"
"5","群益","402","566"
"6","國泰綜合","544","304"
"7","華南永昌","409","339"
"8","兆豐","249","188"
"9","玉山證券","210","213"
"10","統一","142","274"
"15","德宏(5475)"
"1","元大","965","2065"
"2","富邦","1332","989"
"3","元富","1158","278"
"4","凱基","842","531"
"5","永豐金","209","501"
"6","兆豐","249","330"
"7","國泰綜合","232","316"
"8","台新","309","195"
"9","統一","204","280"
"10","華南永昌","126","322"
"16","東典光電(6588)"
"1","元大","1656","2158"
"2","凱基","611","916"
"3","富邦","420","334"
"4","摩根大通","330","421"
"5","永豐金","464","256"
"6","國泰綜合","414","253"
"7","群益","318","298"
"8","統一","245","299"
"9","華南永昌","217","202"
"10","新光","137","271"
"17","群聯(8299)"
"1","元大","1169","829"
"2","凱基","841","744"
"3","美商高盛亞","186","632"
"4","富邦","407","290"
"5","永豐金","394","254"
"6","統一","346","286"
"7","群益","301","196"
"8","國泰綜合","307","152"
"9","星洲瑞銀","73","342"
"10","摩根士丹利","85","313"
"18","波若威(3163)"
"1","凱基","1420","571"
"2","元大","709","1135"
"3","富邦","469","584"
"4","美商高盛亞","567","72"
"5","統一","144","401"
"6","兆豐","91","328"
"7","國泰綜合","156","263"
"8","群益","162","195"
"9","永豐金","86","252"
"10","元富","98","170"
"19","萬泰科(6190)"
"1","元大","929","945"
"2","凱基","373","575"
"3","富邦","364","417"
"4","國泰綜合","415","190"
"5","兆豐","140","420"
"6","永豐金","196","260"
"7","群益","145","281"
"8","元富","210","156"
"9","玉山證券","126","150"
"10","統一","124","146"
"20","東捷(8064)"
"1","元大","924","748"
"2","凱基","465","581"
"3","富邦","380","312"
"4","永豐金","233","217"
"5","群益","234","170"
"6","國泰綜合","169","226"
"7","摩根士丹利","148","241"
"8","華南永昌","141","222"
"9","星洲瑞銀","186","164"
"10","新光","137","159"
"21","聚和(6509)"
"1","元大","908","810"
"2","富邦","337","351"
"3","凱基","336","285"
"4","群益","192","279"
"5","永豐金","204","230"
"6","元富","140","278"
"7","國泰綜合","278","126"
"8","星洲瑞銀","19","279"
"9","兆豐","178","79"
"10","台新","139","93"
"22","凱崴(5498)"
"1","元大","988","797"
"2","凱基","409","528"
