上櫃處置股票資訊 
期間:115/01/01~115/04/10，查詢範圍:全部上櫃有價證券
編號,公布日期,證券代號,證券名稱,處置起訖時間,處置原因,處置內容,收盤價,本益比
"1","115/04/08","31672","大量二","115/04/09~115/04/22","因連續3個營業日達本中心作業要點第四條第一項第一款","大量科技股份有限公司國內第二次無擔保轉換公司債(代號：31672)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年4月9日起10個營業日(115年4月9日至115年4月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券；惟其標的股票前經臺灣證券交易所股份有限公司發布第二次處置，該轉換公司債已併同採行處置措施，其中115年4月8日至115年4月21日(如遇休市、有價證券停止買賣、全日暫停交易則順延執行)仍應改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","310.00","N/A"
"2","115/04/08","3664","安瑞-KY","115/04/09~115/04/22","因連續3個營業日達本中心作業要點第四條第一項第一款","安瑞科技股份有限公司股票(代號：3664)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年4月9日起10個營業日(115年4月9日至115年4月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每45分鐘撮合一次)，另依本中心業務規則第12條規定：各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","8.25","N/A"
"3","115/04/08","4741","泓瀚","115/04/09~115/04/22","因連續3個營業日達本中心作業要點第四條第一項第一款","泓瀚科技股份有限公司股票(代號：4741)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年4月9日起10個營業日(115年4月9日至115年4月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","45.85","158.10"
"4","115/04/08","68301","汎銓一","115/04/09~115/04/22","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司汎銓科技股份有限公司股票(代號：6830)經臺灣證券交易所股份有限公司發布第二次處置，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自115年4月9日起10個營業日(115年4月9日至115年4月22日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對汎銓科技股份有限公司國內第一次無擔保轉換公司債（代號：68301）改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","418.00","N/A"
"5","115/04/07","31672","大量二","115/04/08~115/04/21","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司大量科技股份有限公司股票(代號：3167)經臺灣證券交易所股份有限公司發布第二次處置，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自115年4月8日起10個營業日(115年4月8日至115年4月21日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對大量科技股份有限公司國內第二次無擔保轉換公司債（代號：31672）改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","282.00","N/A"
"6","115/04/07","6727","亞泰金屬","115/04/08~115/04/21","因連續3個營業日達本中心作業要點第四條第一項第一款","亞泰金屬工業股份有限公司股票(代號：6727)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年4月8日起10個營業日(115年4月8日至115年4月21日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","354.50","52.13"
"7","115/04/07","7734","印能科技","115/04/08~115/04/21","因連續3個營業日達本中心作業要點第四條第一項第一款","印能科技股份有限公司股票(代號：7734)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年4月8日起10個營業日(115年4月8日至115年4月21日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","2,325.00","69.40"
"8","115/04/02","31351","凌航一","115/04/07~115/04/20","因連續3個營業日達本中心作業要點第四條第一項第一款","凌航科技股份有限公司國內第一次無擔保轉換公司債(代號：31351)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年4月7日起10個營業日(115年4月7日至115年4月20日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","207.00","N/A"
"9","115/04/01","4741","泓瀚","115/04/02~115/04/17","因連續3個營業日達本中心作業要點第四條第一項第一款","泓瀚科技股份有限公司股票(代號：4741)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年4月2日起10個營業日(115年4月2日至115年4月17日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。","37.00","127.59"
"10","115/03/31","31351","凌航一","115/04/01~115/04/16","轉(交)換公司債之標的證券經本中心或臺灣證券交易所發布處置","上市公司凌航科技股份有限公司股票(代號：3135)經臺灣證券交易所股份有限公司發布處置，依本中心「櫃檯買賣公布或通知注意交易資訊暨處置作業要點」第六條規定，爰自115年4月1日起10個營業日(115年4月1日至115年4月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)對凌航科技股份有限公司國內第一次無擔保轉換公司債（代號：31351）改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","215.00","N/A"
"11","115/03/31","4154","樂威科-KY","115/04/01~115/04/16","因連續3個營業日達本中心作業要點第四條第一項第一款","樂威科股份有限公司股票(代號：4154)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年4月1日起10個營業日(115年4月1日至115年4月16日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。但違約專戶委託買賣該有價證券時，不在此限。","14.35","N/A"
