上櫃公布注意有價證券資訊 
期間:115/01/01~115/04/09，查詢範圍:全部上櫃有價證券
編號,證券代號,證券名稱,注意交易資訊,公告日期,收盤價,本益比
"1","3081","聯亞","當日本益比為437.77、股價淨值比為45.04且為其所屬產業類別股價淨值比之6.46倍、當日週轉率達5.03%(第六款)","115/04/08","2040.00","437.77"
"2","3093","港建*","最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達121.45%(第二款)","115/04/08","57.80","47.38"
"3","3163","波若威","最近六個營業日(含當日)累積之最後成交價漲幅達31.65%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達187.32%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達404.4%(第二款)","115/04/08","1145.00","184.08"
"4","31672","大量二","最近六個營業日(含當日)累積之最後成交價漲幅達39.33%(第一款)","115/04/08","310.00","N/A"
"5","3491","昇達科","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣210元(第十一款)","115/04/08","1790.00","228.61"
"6","3508","位速","最近六個營業日(含當日)累積之最後成交價跌幅達40.94%(第一款)","115/04/08","29.25","N/A"
"7","3529","力旺","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣240元(第十一款)","115/04/08","2925.00","114.26"
"8","3664","安瑞-KY","最近六個營業日(含當日)累積之最後成交價跌幅達38.62%(第一款)","115/04/08","8.25","N/A"
"9","4542","科嶠","最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達244%(第二款)","115/04/08","172.00","134.38"
"10","4741","泓瀚","最近六個營業日(含當日)累積之最後成交價漲幅達37.08%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達110.32%(第二款)","115/04/08","45.85","158.10"
"11","4991","環宇-KY","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣87元(第十一款)","115/04/08","517.00","3446.67"
"12","5274","信驊","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣1395元(第十一款)","115/04/08","12615.00","121.39"
"13","5340","建榮","當日本益比為100.84、股價淨值比為10.2且為其所屬產業類別股價淨值比之2.87倍、當日週轉率達7.92%(第六款)","115/04/08","120.00","100.84"
"14","5386","青雲","最近六個營業日(含當日)累積之最後成交價漲幅達26.95%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣47元(第一款)","115/04/08","333.50","38.73"
"15","5475","德宏","最近六個營業日(含當日)累積之最後成交價漲幅達30.38%(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達196.66%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達355.2%(第二款)當日週轉率達5.66%(第四款)當日本益比為N/A、股價淨值比為40.53且為其所屬產業類別股價淨值比之11.41倍(第六款)","115/04/08","284.50","N/A"
"16","6147","頎邦","最近六個營業日(含當日)累積之最後成交價漲幅達27.16%，元大證券公司當日受託買進該有價證券之成交量占當日該有價證券總成交量之比率為39.02%(第五款)","115/04/08","98.70","26.39"
"17","6208","日揚","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為5.93倍，當日成交量較最近六十個營業日之日平均成交量放大為13.19倍(第九款)","115/04/08","56.60","22.46"
"18","6217","中探針","當日本益比為N/A、股價淨值比為7.66且為其所屬產業類別股價淨值比之2.15倍、當日週轉率達20.69%(第六款)","115/04/08","195.50","N/A"
"19","6223","旺矽","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣575元(第十一款)","115/04/08","4310.00","128.70"
"20","6274","台燿","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣123元(第十一款)","115/04/08","725.00","59.77"
"21","6683","雍智科技","當日本益比為94.03、股價淨值比為14.67且為其所屬產業類別股價淨值比之3.5倍、當日週轉率達12.23%、美商高盛亞證券公司當日賣出該有價證券之成交金額達6.31億元，且占當日該有價證券之總成交金額12.98%、單一投資人當日賣出該有價證券之成交金額達6.31億元，且占當日該有價證券之總成交金額12.98%(第六款)","115/04/08","1450.00","94.03"
"22","6739","竹陞科技","最近六個營業日(含當日)累積之最後成交價漲幅達25.29%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣370元(第一款)","115/04/08","1555.00","96.40"
"23","68301","汎銓一","最近六個營業日(含當日)累積之最後成交價漲幅達39.32%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達175%(第二款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達245.02%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達254.23%(第二款)","115/04/08","418.00","N/A"
"24","7717","萊德光電-KY","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣145元(第十一款)","115/04/08","878.00","143.23"
"25","7734","印能科技","最近六個營業日(含當日)累積之最後成交價漲幅達29.02%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣415元(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達154.96%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達194.33%(第二款)","115/04/08","2440.00","72.84"
"26","3081","聯亞","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣285元(第十一款)","115/04/07","2005.00","430.26"
"27","3105","穩懋","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達61.15%，當日之前一個營業日當日沖銷成交量占總成交量達66.64%（第十三款)","115/04/07","407.00","101.75"
"28","31351","凌航一","最近六個營業日(含當日)累積之最後成交價跌幅達27.56%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣45元(第一款)","115/04/07","205.00","N/A"
"29","3163","波若威","最近六個營業日(含當日)累積之最後成交價漲幅達27.65%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣191元(第一款)最近六十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達165.22%(第二款)最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達344.68%(第二款)當日週轉率達14.06%(第四款)當日本益比為168.01、股價淨值比為27.38且為其所屬產業類別股價淨值比之4.13倍(第六款)","115/04/07","1045.00","168.01"
"30","31672","大量二","最近六個營業日(含當日)累積之最後成交價漲幅達32.77%(第一款)","115/04/07","282.00","N/A"
"31","3508","位速","最近六個營業日(含當日)累積之最後成交價跌幅達34.09%(第一款)","115/04/07","32.45","N/A"
"32","3664","安瑞-KY","最近六個營業日(含當日)累積之最後成交價跌幅達35.06%(第一款)","115/04/07","8.52","N/A"
"33","4303","信立","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達10.81%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為4倍(第十二款)","115/04/07","54.60","4.90"
"34","4542","科嶠","最近九十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達203.29%(第二款)","115/04/07","156.50","122.27"
"35","4741","泓瀚","最近六個營業日(含當日)累積之最後成交價漲幅達44.54%(第一款)最近三十個營業日(含當日)起迄兩個營業日之最後成交價漲幅達106.69%(第二款)","115/04/07","44.75","154.31"
"36","5455","昇益","最近六個營業日(含當日)之日平均成交量較最近六十個營業日日平均成交量放大為8.03倍，當日成交量較最近六十個營業日之日平均成交量放大為48.13倍(第九款)","115/04/07","23.40","6.76"
"37","5475","德宏","最近六個營業日(含當日)累積之最後成交價漲幅達25.17%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣57.5元(第一款)當日本益比為N/A、股價淨值比為38.6且為其所屬產業類別股價淨值比之11.45倍、當日週轉率達7.34%、單一投資人當日賣出該有價證券之成交金額達3.37億元，且占當日該有價證券之總成交金額14.18%(第六款)","115/04/07","271.00","N/A"
"38","6217","中探針","當日本益比為N/A、股價淨值比為7.84且為其所屬產業類別股價淨值比之2.32倍、當日週轉率達27.1%、單一投資人當日賣出該有價證券之成交金額達7.22億元，且占當日該有價證券之總成交金額11.32%(第六款)","115/04/07","200.00","N/A"
"39","6727","亞泰金屬","最近六個營業日(含當日)累積之最後成交價漲幅達25.5%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣54.5元(第一款)","115/04/07","354.50","52.13"
"40","6739","竹陞科技","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣185元(第十一款)","115/04/07","1415.00","87.72"
"41","68301","汎銓一","最近六個營業日(含當日)累積之最後成交價漲幅達23.73%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣93元(第一款)最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣93元(第十一款)","115/04/07","380.00","N/A"
"42","7547","碩網","最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達66.27%，當日之前一個營業日當日沖銷成交量占總成交量達65.46%（第十三款)","115/04/07","75.50","28.49"
"43","7734","印能科技","最近六個營業日(含當日)累積之最後成交價漲幅達25.45%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣480元(第一款)","115/04/07","2325.00","69.40"
"44","7751","竑騰","最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣218元(第十一款)","115/04/07","1830.00","89.27"
"45","8027","鈦昇","當日本益比為N/A、股價淨值比為6.02且為其所屬產業類別股價淨值比之3.1倍、當日週轉率達11.51%(第六款)","115/04/07","151.50","N/A"
"46","8936","國統","最近六個營業日(自當日之前一個營業日起)之借券賣出成交量占總成交量比率達16.1%，當日之前一個營業日借券賣出成交量較最近六十個營業日(自當日之前一個營業日起)之日平均借券賣出成交量放大為7倍(第十二款)","115/04/07","50.20","12.30"
"47","31351","凌航一","最近六個營業日(含當日)累積之最後成交價跌幅達29.44%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣66元(第一款)","115/04/02","207.00","N/A"
