115年01月12日 截至11:00止 熱門股證券商進出排行(等價整股由大而小排列),,,
排行,股票名稱(代號) ,,
排行, 證商名稱,總買量(張) ,總賣量(張) 
1,鉅橡(8074),,
1,元大,10085,7994
2,富邦,4495,7444
3,中國信託證,5673,5549
4,凱基,4017,4367
5,國泰綜合,3203,1912
6,永豐金,2150,2296
7,群益,2137,1735
8,統一,784,2573
9,華南永昌,1350,1475
10,國票,648,2127
2,穩懋(3105),,
1,元大,6713,6870
2,凱基,5582,5759
3,富邦,2831,2578
4,永豐金,2690,1957
5,國泰綜合,2842,1564
6,星洲瑞銀,1223,2185
7,群益,1455,1469
8,統一,1419,1023
9,美商高盛亞,380,1986
10,華南永昌,1124,975
3,世界(5347),,
1,元大,4887,4601
2,凱基,4136,4017
3,美商高盛亞,3665,1345
4,摩根士丹利,959,2945
5,富邦,2184,1634
6,星洲瑞銀,1571,2137
7,統一,1250,2413
8,國泰綜合,2281,1282
9,群益,2082,1104
10,永豐金,1090,1801
4,富喬(1815),,
1,元大,5838,4729
2,凱基,3370,3647
3,富邦,3267,1743
4,國泰綜合,2038,1469
5,永豐金,1478,1255
6,星洲瑞銀,327,2225
7,群益,996,1443
8,國票,504,1597
9,華南永昌,880,860
10,兆豐,976,702
5,華電網(6163),,
1,元大,4021,5077
2,凱基,3270,3698
3,富邦,2865,3009
4,永豐金,1640,1513
5,統一,1979,1109
6,群益,1052,1032
7,國泰綜合,871,987
8,兆豐,405,1152
9,國票,1253,198
10,元富,632,756
6,萬泰科(6190),,
1,元大,4239,3747
2,凱基,1490,3055
3,富邦,1491,1859
4,兆豐,2515,627
5,國泰綜合,1387,1051
6,群益,1251,1063
7,永豐金,899,1031
8,台新,1009,583
9,星洲瑞銀,624,768
10,元富,690,632
7,金山電(8042),,
1,元大,4411,4298
2,凱基,2346,2750
3,富邦,1489,1807
4,群益,1094,1065
5,國泰綜合,1297,822
6,永豐金,1008,1003
7,美商高盛亞,820,774
8,統一,399,1020
9,台新,738,440
10,華南永昌,612,481
8,富強鑫(6603),,
1,元大,4261,3312
2,凱基,1848,2568
3,富邦,1472,1506
4,永豐金,929,1482
5,國泰綜合,1112,540
6,華南永昌,877,742
7,群益,725,738
8,元富,967,487
9,美商高盛亞,794,650
10,統一,380,836
9,蜜望實(8043),,
1,元大,4295,3392
2,凱基,2144,3092
3,永豐金,1049,1602
4,富邦,1192,1436
5,國泰綜合,1609,802
6,統一,336,1690
7,群益,847,702
8,台新,702,678
9,華南永昌,794,563
10,美商高盛亞,575,639
10,合晶(6182),,
1,元大,3040,3254
2,凱基,1984,1795
3,富邦,992,1297
4,美商高盛亞,1188,679
5,國泰綜合,732,1058
6,群益,684,753
7,星洲瑞銀,735,589
8,永豐金,524,756
9,元富,597,529
10,華南永昌,448,577
11,品安(8088),,
1,元大,3523,3096
2,凱基,1966,2047
3,富邦,1100,1052
4,國泰綜合,1060,803
5,群益,516,868
6,永豐金,638,707
7,華南永昌,811,463
8,台新,757,402
9,美商高盛亞,424,637
10,星洲瑞銀,248,502
12,晟田(4541),,
1,元大,2805,3736
2,凱基,1732,1576
3,富邦,855,859
4,群益,751,900
5,華南永昌,794,796
6,永豐金,699,551
7,美商高盛亞,550,623
8,國泰綜合,671,349
9,統一,301,681
10,元富,500,430
13,茂迪(6244),,
1,元大,2466,1921
2,富邦,1846,1362
3,凱基,1123,1514
4,美商高盛亞,478,911
5,永豐金,555,819
6,國泰綜合,799,485
7,群益,420,484
8,元富,444,287
9,星洲瑞銀,331,397
10,玉山證券,435,258
14,中光電(5371),,
1,元大,1654,2183
2,凱基,1760,1058
3,富邦,474,1019
4,美商高盛亞,1228,152
5,群益,530,516
6,永豐金,363,680
7,星洲瑞銀,768,248
8,國泰綜合,336,471
9,統一,297,472
10,華南永昌,321,407
15,華星光(4979),,
1,元大,1950,1203
2,凱基,961,1340
3,華南永昌,483,941
4,富邦,659,687
5,國泰綜合,811,349
6,星洲瑞銀,502,589
7,群益,528,382
8,永豐金,545,365
9,美商高盛亞,277,619
10,統一,332,488
16,廣穎(4973),,
1,元大,1823,1801
2,凱基,1235,1191
3,富邦,702,724
4,國泰綜合,729,584
5,群益,575,715
6,美商高盛亞,408,440
7,永豐金,398,414
8,國票,473,250
9,元富,301,379
10,玉山證券,428,159
17,合一(4743),,
1,元大,1838,1777
2,凱基,718,962
3,元富,526,658
4,富邦,627,545
5,星洲瑞銀,581,359
6,永豐金,475,419
7,台新,241,637
8,華南永昌,366,508
9,群益,423,433
10,統一,175,587
18,東捷(8064),,
1,富邦,1549,1449
2,元大,965,1707
3,凱基,1909,741
4,元富,469,645
5,華南永昌,587,456
6,群益,311,571
7,統一,292,347
8,港商野村,588,0
9,永豐金,218,367
10,美商高盛亞,396,105
19,創惟(6104),,
1,元大,1534,1765
2,凱基,895,1034
3,富邦,649,980
4,國泰綜合,482,351
5,統一,329,493
6,永豐金,362,448
7,華南永昌,306,369
8,群益,313,351
9,元富,314,195
10,玉山證券,247,176
20,漢磊(3707),,
1,元大,1226,1466
2,凱基,1427,819
3,群益,287,1206
4,富邦,555,611
5,美商高盛亞,624,348
6,永豐金,329,408
7,國泰綜合,246,475
8,星洲瑞銀,355,175
9,美林證券,473,26
10,國票,214,238
21,千如(3236),,
1,元大,1642,2015
2,凱基,1003,1210
3,富邦,614,815
4,美商高盛亞,870,418
5,群益,334,483
6,國泰綜合,381,334
7,星洲瑞銀,388,132
8,元富,214,292
9,港商野村,458,0
10,永豐金,181,267
22,康和證(6016),,
1,元大,1638,697
2,富邦,755,760
3,國票,886,627
4,凱基,644,429
5,美商高盛亞,205,844
6,永豐金,331,714
7,台新,242,666
8,星洲瑞銀,80,611
9,華南永昌,497,145
10,康和,138,432
23,長科*(6548),,
1,凱基,1262,1531
2,元大,1284,1326
3,富邦,446,638
4,美商高盛亞,618,249
5,永豐金,317,398
6,元富,249,322
7,國泰綜合,211,325
8,兆豐,228,248
9,群益,213,257
10,星洲瑞銀,275,191
24,新復興(4909),,
1,元大,1662,1752
2,凱基,1583,1059
3,富邦,464,627
4,統一,618,298
5,國泰綜合,401,401
6,群益,357,435
7,永豐金,403,349
8,台新,285,340
9,華南永昌,247,291
10,新光,192,322
25,新盛力(4931),,
1,元大,1436,1514
2,永豐金,1167,385
3,凱基,792,451
4,富邦,520,412
5,美林證券,36,862
6,港商野村,8,842
7,美商高盛亞,56,714
8,群益,271,496
9,國泰綜合,527,152
10,兆豐,300,120
26,中美晶(5483),,
1,元大,1167,937
2,凱基,494,1156
3,統一,496,599
4,美商高盛亞,422,620
5,富邦,605,359
6,國泰綜合,476,277
7,永豐金,339,280
8,群益,285,238
9,星洲瑞銀,181,321
10,元富,336,155
27,太景*-KY(4157),,
1,元大,1244,1129
2,凱基,644,1006
3,富邦,488,793
4,新光,421,374
5,群益,251,482
6,華南永昌,317,365
7,美商高盛亞,133,516
8,永豐金,303,257
9,國泰綜合,293,185
10,台新,253,156
28,健亞(4130),,
1,國泰綜合,1464,172
2,兆豐,1438,79
3,凱基,856,536
4,元大,406,854
5,富邦,89,859
6,群益,141,553
7,元富,63,581
8,康和,177,276
9,華南永昌,158,253
10,台新,16,389
29,世紀*(5314),,
1,元大,937,1602
2,凱基,999,619
3,富邦,661,384
4,國泰綜合,282,285
5,永豐金,224,321
6,星洲瑞銀,263,193
7,台新,225,187
8,群益,209,201
9,統一,140,263
10,兆豐,228,161
30,環球晶(6488),,
1,元大,962,1125
2,凱基,848,909
3,富邦,245,437
4,群益,408,218
5,永豐金,182,333
6,星洲瑞銀,274,210
7,玉山證券,347,118
8,美商高盛亞,205,228
9,國泰綜合,187,230
10,兆豐,166,248
共300筆,,,
