115年03月11日 截至12:00止 熱門股證券商進出排行(等價整股由大而小排列)
"排行","股票名稱(代號) "
"排行"," 證商名稱","總買量(張) ","總賣量(張) "
"1","光洋科(1785)"
"1","元大","16311","19020"
"2","凱基","10235","11125"
"3","富邦","6362","5186"
"4","國泰綜合","4738","4750"
"5","永豐金","4142","3420"
"6","群益","3615","3250"
"7","美商高盛亞","3774","1835"
"8","統一","1924","3394"
"9","元富","2263","2918"
"10","兆豐","2529","2494"
"2","擎亞(8096)"
"1","元大","8023","7984"
"2","凱基","3390","4611"
"3","永豐金","2580","2795"
"4","富邦","2602","2145"
"5","國泰綜合","2345","1938"
"6","群益","2081","2196"
"7","美商高盛亞","1680","884"
"8","台新","1311","1112"
"9","華南永昌","961","969"
"10","統一","681","1115"
"3","威剛(3260)"
"1","元大","6300","6406"
"2","凱基","3746","3196"
"3","富邦","1605","1810"
"4","永豐金","1767","1492"
"5","國泰綜合","1529","1712"
"6","群益","1265","1369"
"7","美商高盛亞","1313","586"
"8","台新","1109","748"
"9","元富","703","1062"
"10","統一","769","937"
"4","鈺創(5351)"
"1","元大","5922","5900"
"2","凱基","2082","2649"
"3","富邦","1701","1700"
"4","國泰綜合","1573","1171"
"5","群益","1145","1351"
"6","永豐金","1245","1064"
"7","華南永昌","1279","889"
"8","元富","667","1055"
"9","台新","770","702"
"10","兆豐","636","806"
"5","茂迪(6244)"
"1","元大","4688","5224"
"2","凱基","2599","2619"
"3","富邦","1898","2462"
"4","群益","1150","1224"
"5","國泰綜合","1074","1269"
"6","永豐金","928","1357"
"7","美商高盛亞","1112","539"
"8","統一","562","937"
"9","華南永昌","629","636"
"10","元富","492","696"
"6","建榮(5340)"
"1","元大","3024","2782"
"2","凱基","1632","1741"
"3","富邦","990","1069"
"4","國泰綜合","1022","774"
"5","永豐金","846","817"
"6","群益","674","813"
"7","華南永昌","761","514"
"8","統一","518","546"
"9","摩根士丹利","53","795"
"10","元富","407","325"
"7","欣銓(3264)"
"1","元大","2522","3282"
"2","凱基","1351","2005"
"3","富邦","1907","745"
"4","群益","1518","511"
"5","摩根士丹利","1043","156"
"6","國泰綜合","522","526"
"7","永豐金","497","484"
"8","星洲瑞銀","256","713"
"9","摩根大通","330","612"
"10","元富","614","305"
"8","康和證(6016)"
"1","元大","1655","2045"
"2","永豐金","191","2902"
"3","凱基","1093","635"
"4","美商高盛亞","1710","3"
"5","群益","1110","440"
"6","富邦","809","589"
"7","國票","825","487"
"8","元富","219","482"
"9","美林證券","626","20"
"10","統一","125","418"
"9","世界(5347)"
"1","元大","1533","1561"
"2","摩根士丹利","632","1987"
"3","凱基","823","1371"
"4","星洲瑞銀","1387","409"
"5","港商野村","1219","9"
"6","美林證券","0","1045"
"7","富邦","733","257"
"8","群益","494","459"
"9","美商高盛亞","531","388"
"10","摩根大通","562","294"
"10","順達(3211)"
"1","元大","1744","1350"
"2","凱基","719","1220"
"3","富邦","641","449"
"4","永豐金","588","401"
"5","國泰綜合","596","342"
"6","摩根士丹利","60","860"
"7","摩根大通","77","657"
"8","統一","494","220"
"9","美商高盛亞","384","307"
"10","群益","314","356"
"11","東捷(8064)"
"1","元大","1560","1738"
"2","凱基","1416","986"
"3","富邦","702","662"
"4","群益","408","631"
"5","永豐金","431","572"
"6","國泰綜合","287","409"
"7","統一","234","405"
"8","華南永昌","193","370"
"9","元富","268","256"
"10","玉山證券","242","281"
"12","良維(6290)"
"1","凱基","1048","1569"
"2","元大","1360","1101"
"3","富邦","540","806"
"4","美商高盛亞","1182","164"
"5","群益","439","693"
"6","永豐金","286","577"
"7","兆豐","570","146"
"8","統一","179","490"
"9","元富","165","453"
"10","國泰綜合","237","315"
"13","宏捷科(8086)"
"1","元大","1586","1636"
"2","凱基","770","908"
"3","富邦","274","679"
"4","星洲瑞銀","828","51"
"5","永豐金","286","542"
"6","摩根士丹利","629","74"
"7","群益","313","290"
"8","國泰綜合","215","350"
"9","港商野村","523","0"
"10","中國信託證","114","362"
"14","富喬(1815)"
"1","元大","1119","1390"
"2","富邦","793","1465"
"3","凱基","713","1282"
"4","華南永昌","426","1153"
"5","群益","622","134"
"6","永豐金","471","180"
"7","統一","358","269"
"8","國泰綜合","395","228"
"9","第一金證券","139","302"
"10","兆豐","197","216"
"15","台燿(6274)"
"1","元大","1230","1701"
"2","凱基","827","1007"
"3","富邦","367","537"
"4","國泰綜合","485","305"
"5","永豐金","538","228"
"6","群益","258","428"
"7","摩根士丹利","572","43"
"8","元富","220","361"
"9","美商高盛亞","360","140"
"10","中國信託證","118","342"
"16","雙鴻(3324)"
"1","元大","1212","1124"
"2","凱基","659","928"
"3","富邦","705","553"
"4","國泰綜合","418","328"
"5","永豐金","406","275"
"6","群益","415","224"
"7","美商高盛亞","214","299"
"8","摩根士丹利","182","266"
"9","華南永昌","205","219"
"10","星洲瑞銀","115","305"
"17","群聯(8299)"
"1","元大","1119","1151"
"2","永豐金","687","645"
"3","凱基","536","611"
"4","富邦","357","398"
"5","星洲瑞銀","249","430"
"6","群益","256","299"
"7","兆豐","404","119"
"8","國泰綜合","231","247"
"9","美商高盛亞","228","228"
"10","國票","318","57"
"18","均豪(5443)"
"1","元大","1137","1155"
"2","凱基","631","841"
"3","富邦","699","501"
"4","永豐金","351","331"
"5","國泰綜合","317","353"
"6","群益","244","290"
"7","統一","289","194"
"8","美商高盛亞","274","193"
"9","玉山證券","142","325"
"10","台新","155","182"
"19","穩懋(3105)"
"1","花旗環球","14","1214"
"2","凱基","495","697"
"3","永豐金","868","306"
"4","元大","619","481"
"5","美商高盛亞","828","80"
"6","富邦","324","455"
"7","摩根士丹利","456","228"
"8","統一","303","202"
"9","群益","170","197"
"10","台新","229","81"
"20","IET-KY(4971)"
"1","元大","1235","1051"
"2","凱基","506","813"
"3","富邦","428","278"
"4","群益","295","326"
"5","國泰綜合","346","204"
"6","永豐金","278","257"
"7","華南永昌","251","154"
"8","美商高盛亞","91","256"
"9","摩根士丹利","12","325"
"10","中國信託證","187","146"
"21","佶優(5452)"
"1","元大","729","1212"
"2","凱基","980","506"
"3","永豐金","551","746"
"4","群益","388","216"
"5","富邦","186","412"
"6","元富","296","238"
"7","統一","402","124"
"8","華南永昌","335","127"
"9","兆豐","49","248"
"10","國泰綜合","102","166"
"22","鑫聯大投控(3709)"
"1","元大","1081","1126"
"2","凱基","566","879"
"3","富邦","487","304"
"4","國泰綜合","314","317"
"5","群益","252","322"
"6","美商高盛亞","69","343"
"7","華南永昌","226","186"
"8","永豐金","214","140"
"9","兆豐","118","208"
"10","港商麥格理","300","0"
"23","系統電(5309)"
"1","元大","1790","671"
"2","凱基","420","1068"
"3","富邦","293","731"
"4","永豐金","275","213"
"5","群益","230","217"
"6","美商高盛亞","69","325"
"7","國泰綜合","165","121"
"8","華南永昌","116","151"
"9","玉山證券","143","109"
"10","兆豐","178","72"
"24","匯鑽科(8431)"
"1","元大","823","1053"
"2","凱基","905","203"
