115年04月01日 截至11:26止 热门股券商进出排行(等价整股由大而小排列)
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","穩懋(3105)"
"1","元大","5715","6712"
"2","凱基","4198","4555"
"3","國泰綜合","2370","2876"
"4","群益","2839","1827"
"5","富邦","2249","2282"
"6","永豐金","2128","2375"
"7","美商高盛亞","1969","1126"
"8","統一","1454","1535"
"9","美林證券","1558","599"
"10","元富","941","1057"
"2","九豪(6127)"
"1","元大","7549","6309"
"2","凱基","2136","4051"
"3","富邦","2613","1599"
"4","群益","1829","1513"
"5","國泰綜合","2188","802"
"6","永豐金","1434","1110"
"7","華南永昌","1054","700"
"8","統一","730","1016"
"9","美商高盛亞","229","1464"
"10","星洲瑞銀","0","1576"
"3","頎邦(6147)"
"1","凱基","7944","3693"
"2","元大","2305","3616"
"3","富邦","1690","2908"
"4","永豐金","1264","1463"
"5","康和","1874","555"
"6","群益","1423","710"
"7","國泰綜合","952","905"
"8","美商高盛亞","180","1487"
"9","摩根士丹利","578","851"
"10","統一","788","603"
"4","光洋科(1785)"
"1","元大","6463","3688"
"2","凱基","1957","3575"
"3","富邦","1490","1207"
"4","群益","1112","1215"
"5","國泰綜合","1334","812"
"6","永豐金","1382","754"
"7","星洲瑞銀","367","1490"
"8","美商高盛亞","392","1212"
"9","統一","539","804"
"10","兆豐","721","570"
"5","富喬(1815)"
"1","元大","4674","4102"
"2","富邦","1436","1567"
"3","凱基","1292","1360"
"4","國泰綜合","1299","877"
"5","群益","955","1093"
"6","永豐金","821","844"
"7","國票","243","863"
"8","星洲瑞銀","512","462"
"9","美商高盛亞","189","739"
"10","台新","487","424"
"6","萬泰科(6190)"
"1","元大","4127","3426"
"2","凱基","978","1866"
"3","富邦","1262","744"
"4","群益","960","1033"
"5","國泰綜合","947","799"
"6","永豐金","929","569"
"7","美商高盛亞","201","1086"
"8","兆豐","992","261"
"9","美林證券","35","1166"
"10","元富","782","410"
"7","擎亞(8096)"
"1","元大","2554","2507"
"2","凱基","1628","1579"
"3","群益","769","933"
"4","國泰綜合","820","823"
"5","富邦","677","865"
"6","永豐金","444","855"
"7","星洲瑞銀","873","181"
"8","華南永昌","322","524"
"9","統一","241","534"
"10","台新","341","371"
"8","欣銓(3264)"
"1","元大","2036","2369"
"2","凱基","966","1505"
"3","兆豐","1120","403"
"4","富邦","424","854"
"5","群益","648","576"
"6","統一","695","470"
"7","國泰綜合","502","459"
"8","永豐金","456","505"
"9","台新","557","299"
"10","港商野村","775","67"
"9","台燿(6274)"
"1","元大","1976","2109"
"2","凱基","1263","1129"
"3","富邦","818","684"
"4","群益","592","711"
"5","國泰綜合","662","558"
"6","永豐金","388","572"
"7","兆豐","539","249"
"8","摩根士丹利","436","263"
"9","華南永昌","204","462"
"10","元富","216","395"
"10","金居(8358)"
"1","元大","2240","1636"
"2","凱基","849","1534"
"3","富邦","756","487"
"4","美商高盛亞","398","819"
"5","永豐金","724","394"
"6","國泰綜合","721","376"
"7","摩根士丹利","47","1006"
"8","港商野村","53","941"
"9","兆豐","479","196"
"10","群益","455","215"
"11","世界(5347)"
"1","元大","1386","970"
"2","凱基","895","740"
"3","群益","606","963"
"4","美商高盛亞","208","970"
"5","摩根士丹利","65","996"
"6","大和國泰","850","0"
"7","星洲瑞銀","179","661"
"8","富邦","444","326"
"9","元富","542","86"
"10","國泰綜合","358","192"
"12","順達(3211)"
"1","元大","1214","1247"
"2","凱基","761","897"
"3","永豐金","438","438"
"4","國泰綜合","595","180"
"5","富邦","501","258"
"6","群益","371","383"
"7","美林證券","1","531"
"8","華南永昌","291","237"
"9","元富","391","136"
"10","星洲瑞銀","12","476"
"13","台嘉碩(3221)"
"1","元大","1296","1297"
"2","凱基","736","827"
"3","富邦","619","497"
"4","國泰綜合","456","531"
"5","群益","302","415"
"6","元富","251","307"
"7","永豐金","241","291"
"8","華南永昌","296","228"
"9","玉山證券","312","178"
"10","台新","189","193"
"14","華電網(6163)"
"1","凱基","1936","1251"
"2","元大","1052","1178"
"3","永豐金","836","390"
"4","富邦","380","527"
"5","新光","305","314"
"6","群益","223","311"
"7","國泰綜合","89","340"
"8","統一","208","182"
"9","國票","61","309"
"10","港商野村","303","29"
"15","德宏(5475)"
"1","元大","1157","904"
"2","富邦","1054","447"
"3","高橋","2","1011"
"4","永豐金","347","510"
"5","群益","681","159"
"6","凱基","460","365"
"7","元富","165","302"
"8","國泰綜合","70","354"
"9","星洲瑞銀","317","50"
"10","摩根大通","292","32"
"16","聯光通(4903)"
"1","元大","1070","1075"
"2","凱基","471","680"
"3","元富","273","495"
"4","富邦","257","335"
"5","星洲瑞銀","253","317"
"6","永豐金","316","206"
"7","國票","243","221"
"8","群益","252","201"
"9","港商野村","123","224"
"10","美商高盛亞","144","196"
"17","東捷(8064)"
"1","元大","895","760"
"2","凱基","390","926"
"3","富邦","463","421"
"4","國泰綜合","208","397"
"5","群益","396","171"
"6","星洲瑞銀","133","234"
"7","港商野村","74","211"
"8","新光","162","109"
"9","永豐金","162","105"
"10","華南永昌","216","47"
"18","聚和(6509)"
"1","元大","677","839"
"2","凱基","335","445"
"3","新光","410","351"
"4","群益","423","233"
"5","富邦","266","379"
"6","兆豐","318","138"
"7","國泰綜合","223","206"
"8","永豐金","238","186"
"9","元富","155","193"
"10","華南永昌","120","209"
"19","中美晶(5483)"
"1","凱基","311","898"
"2","元大","751","336"
"3","美商高盛亞","56","693"
"4","富邦","400","153"
"5","中國信託證","104","407"
"6","摩根士丹利","48","367"
"7","群益","251","117"
"8","華南永昌","328","29"
"9","台新","162","157"
"10","永豐金","203","110"
"20","同致(3552)"
"1","元大","1105","1362"
"2","凱基","426","561"
"3","群益","340","284"
"4","富邦","272","234"
"5","永豐金","259","247"
"6","國泰綜合","241","148"
"7","元富","143","121"
"8","台新","94","157"
"9","玉山證券","147","96"
"10","統一","83","151"
"21","鈦昇(8027)"
"1","凱基","1979","268"
"2","元大","823","1390"
"3","富邦","460","319"
"4","華南永昌","221","309"
"5","元富","152","185"
"6","康和","204","63"
"7","群益","37","206"
"8","永豐金","48","195"
"9","國泰綜合","44","112"
"10","台新","35","101"
"22","泰谷(3339)"
"1","元大","828","744"
"2","凱基","427","693"
"3","富邦","276","216"
"4","群益","289","188"
"5","永豐金","161","271"
"6","國泰綜合","298","115"
"7","康和","274","7"
"8","元富","156","120"
"9","國票","41","221"
"10","台新","99","161"
"23","泓瀚(4741)"
"1","元大","790","851"
"2","凱基","866","723"
"3","富邦","296","264"
"4","永豐金","221","263"
"5","群益","192","236"
"6","國泰綜合","192","180"
"7","華南永昌","158","194"
"8","兆豐","124","113"
"9","元富","128","108"
"10","統一","83","99"
"24","榮田(7709)"
"1","元大","714","526"
"2","凱基","343","658"
"3","富邦","278","555"
"4","群益","189","251"
"5","國泰綜合","269","133"
"6","永豐金","211","170"
"7","台新","180","147"
"8","兆豐","138","121"
"9","元富","156","67"
"10","玉山證券","107","112"
"25","建榮(5340)"
"1","元大","600","604"
"2","凱基","482","409"
"3","國泰綜合","210","288"
"4","富邦","175","224"
"5","永豐金","165","208"
"6","星洲瑞銀","195","146"
"7","群益","133","175"
"8","摩根大通","296","7"
"9","美商高盛亞","168","103"
"10","台新","87","140"
"26","佰研(3205)"
"1","元大","750","832"
"2","凱基","330","546"
"3","元富","120","399"
"4","富邦","330","162"
"5","統一","44","392"
"6","群益","148","167"
"7","永豐金","181","127"
"8","國泰綜合","154","55"
"9","台新","129","77"
"10","兆豐","113","87"
"27","邑昇(5291)"
"1","元大","868","860"
"2","凱基","243","451"
"3","富邦","237","248"
"4","群益","161","302"
"5","永豐金","150","233"
"6","國泰綜合","165","133"
"7","統一","143","89"
"8","摩根大通","101","88"
"9","美商高盛亞","51","108"
"10","元富","107","49"
"28","宏捷科(8086)"
"1","元大","573","1072"
"2","凱基","304","371"
"3","星洲瑞銀","444","20"
"4","摩根大通","383","13"
"5","摩根士丹利","219","92"
"6","國泰綜合","147","156"
"7","富邦","124","163"
"8","永豐金","86","155"
"9","群益","111","86"
"10","統一","130","54"
"29","合晶(6182)"
"1","元大","761","783"
"2","摩根士丹利","0","724"
"3","美商高盛亞","212","399"
"4","凱基","269","263"
"5","富邦","280","172"
"6","群益","163","212"
"7","永豐金","169","90"
"8","兆豐","137","60"
"9","星洲瑞銀","46","128"
"10","元富","113","55"
"30","群聯(8299)"
"1","元大","678","507"
"2","凱基","382","306"
"3","富邦","293","238"
"4","永豐金","289","198"
"5","美商高盛亞","122","293"
"6","摩根大通","219","105"
"7","國泰綜合","111","144"
"8","摩根士丹利","3","225"
"9","群益","111","89"
"10","統一","111","84"
