"115年04月08日 截至13:46止 热门股券商进出排行(等价整股由大而小排列)"
"排行","股票名称(代号) "
"排行"," 券商名称","总买量(张) ","总卖量(张) "
"1","富喬(1815)"
"1","凱基","13315","10074"
"2","元大","8940","14152"
"3","富邦","14314","6768"
"4","統一","4996","2162"
"5","國泰綜合","1743","4750"
"6","永豐金","2401","4027"
"7","台新","1631","4658"
"8","國票","3296","1640"
"9","新光","2254","2192"
"10","群益","1722","2724"
"2","擎亞(8096)"
"1","元大","8228","8595"
"2","凱基","3084","4097"
"3","富邦","3988","3125"
"4","國泰綜合","3189","2620"
"5","群益","2553","2161"
"6","永豐金","1809","2215"
"7","台新","1750","2254"
"8","統一","2160","1277"
"9","新光","2274","790"
"10","華南永昌","772","1879"
"3","穩懋(3105)"
"1","元大","8859","8609"
"2","凱基","4047","4517"
"3","永豐金","2322","2907"
"4","國泰綜合","2726","2489"
"5","富邦","2378","2788"
"6","台新","1890","1842"
"7","群益","1888","1672"
"8","美商高盛亞","922","1515"
"9","統一","1131","1289"
"10","星洲瑞銀","1034","1255"
"4","光洋科(1785)"
"1","元大","7584","8164"
"2","凱基","3874","4579"
"3","富邦","4095","4076"
"4","永豐金","2526","1647"
"5","台新","1853","2041"
"6","國泰綜合","1726","2115"
"7","群益","1719","1787"
"8","華南永昌","1282","1858"
"9","美商高盛亞","700","2147"
"10","星洲瑞銀","1687","1076"
"5","世界(5347)"
"1","元大","6215","7472"
"2","凱基","2644","4965"
"3","摩根士丹利","4279","1949"
"4","花旗環球","5544","220"
"5","永豐金","2763","1322"
"6","國泰綜合","2385","1513"
"7","群益","2086","1371"
"8","富邦","1399","2028"
"9","台新","1064","1468"
"10","摩根大通","154","2362"
"6","威剛(3260)"
"1","元大","5000","4711"
"2","凱基","2393","3428"
"3","富邦","1535","1515"
"4","群益","1301","1607"
"5","摩根士丹利","1629","1251"
"6","台新","1429","1365"
"7","永豐金","1182","1171"
"8","美商高盛亞","892","1114"
"9","統一","1145","652"
"10","國泰綜合","818","933"
"7","中探針(6217)"
"1","元大","4789","3948"
"2","富邦","2052","2912"
"3","凱基","2599","2186"
"4","國泰綜合","1747","1169"
"5","永豐金","1557","1254"
"6","群益","1302","1299"
"7","台新","1256","999"
"8","摩根士丹利","130","1600"
"9","新光","579","1038"
"10","華南永昌","920","612"
"8","頎邦(6147)"
"1","元大","7769","2646"
"2","富邦","3872","2353"
"3","凱基","2753","1052"
"4","統一","1995","644"
"5","國票","1816","171"
"6","摩根大通","291","1443"
"7","永豐金","295","1358"
"8","美商高盛亞","48","1402"
"9","兆豐","68","1270"
"10","國泰綜合","375","961"
"9","台燿(6274)"
"1","元大","3506","3497"
"2","凱基","2400","2547"
"3","富邦","1639","2382"
"4","美商高盛亞","1797","775"
"5","群益","1108","765"
"6","國泰綜合","1008","848"
"7","永豐金","807","862"
"8","摩根士丹利","439","1013"
"9","台新","774","677"
"10","統一","419","975"
"10","金居(8358)"
"1","元大","2433","3932"
"2","凱基","2390","1885"
"3","富邦","2154","1469"
"4","永豐金","1184","1324"
"5","統一","1785","413"
"6","國泰綜合","961","1022"
"7","群益","780","894"
"8","台新","392","1194"
"9","華南永昌","233","725"
"10","摩根士丹利","884","6"
"11","宏捷科(8086)"
"1","元大","4043","3346"
"2","凱基","2189","3244"
"3","富邦","1094","1624"
"4","群益","933","1001"
"5","永豐金","808","729"
"6","摩根大通","1038","481"
"7","國泰綜合","702","762"
"8","統一","746","705"
"9","台新","747","679"
"10","華南永昌","515","458"
"12","萬泰科(6190)"
"1","元大","4910","3507"
"2","凱基","1805","2072"
"3","台新","932","1536"
"4","富邦","755","1404"
"5","群益","515","854"
"6","永豐金","518","756"
"7","國泰綜合","476","788"
"8","摩根士丹利","1180","42"
"9","華南永昌","505","702"
"10","統一","663","301"
"13","湧德(3689)"
"1","元大","3348","3297"
"2","富邦","1321","3083"
"3","凱基","1616","1537"
"4","台新","1139","986"
"5","群益","1081","924"
"6","永豐金","1005","824"
"7","美商高盛亞","702","382"
"8","新光","558","440"
"9","星洲瑞銀","713","159"
"10","國泰綜合","439","387"
"14","建榮(5340)"
"1","元大","3118","3251"
"2","凱基","2164","2237"
"3","富邦","1431","1830"
"4","永豐金","930","810"
"5","群益","851","754"
"6","國泰綜合","628","924"
"7","台新","714","659"
"8","華南永昌","480","566"
"9","美商高盛亞","568","412"
"10","統一","534","439"
"15","泰谷(3339)"
"1","元大","3038","2732"
"2","群益","1555","1707"
"3","凱基","1202","1512"
"4","富邦","1242","901"
"5","台新","953","1010"
"6","永豐金","719","949"
"7","國泰綜合","773","728"
"8","統一","627","720"
"9","華南永昌","469","582"
"10","玉山證券","455","465"
"16","東捷(8064)"
"1","凱基","3035","2534"
"2","元大","2080","2732"
"3","富邦","699","1007"
"4","台新","557","611"
"5","統一","532","518"
"6","國泰綜合","497","551"
"7","永豐金","425","486"
"8","群益","413","479"
"9","港商野村","615","262"
"10","星洲瑞銀","792","78"
"17","鈦昇(8027)"
"1","元大","2877","1738"
"2","凱基","769","3128"
"3","富邦","970","2473"
"4","永豐金","947","577"
"5","國泰綜合","964","474"
"6","台新","745","515"
"7","群益","809","404"
"8","華南永昌","324","588"
"9","星洲瑞銀","246","394"
"10","兆豐","363","226"
"18","創威(6530)"
"1","元大","2725","2462"
"2","凱基","1040","1706"
"3","富邦","947","680"
"4","群益","764","714"
"5","台新","702","760"
"6","永豐金","725","529"
"7","華南永昌","579","469"
"8","國泰綜合","553","483"
"9","兆豐","392","406"
"10","統一","353","298"
"19","欣銓(3264)"
"1","元大","2513","1750"
"2","凱基","1413","1484"
"3","富邦","1029","681"
"4","永豐金","562","642"
"5","星洲瑞銀","30","1097"
"6","台新","557","553"
"7","統一","650","433"
"8","群益","374","568"
"9","玉山證券","283","591"
"10","國泰綜合","411","420"
"20","順達(3211)"
"1","元大","1769","2076"
"2","凱基","1121","1412"
"3","富邦","1144","771"
"4","永豐金","910","669"
"5","台新","668","710"
"6","國泰綜合","452","484"
"7","群益","483","427"
"8","華南永昌","366","506"
"9","美商高盛亞","409","451"
"10","統一","424","340"
"21","長科*(6548)"
"1","凱基","1280","1763"
"2","元大","1533","1303"
"3","富邦","839","685"
"4","台新","519","500"
"5","星洲瑞銀","577","424"
"6","美商高盛亞","306","560"
"7","華南永昌","441","354"
"8","永豐金","364","406"
"9","國泰綜合","475","283"
"10","統一","278","371"
"22","台半(5425)"
"1","元大","2087","2045"
"2","凱基","720","1015"
"3","群益","735","666"
"4","美商高盛亞","147","936"
"5","富邦","667","400"
"6","台新","578","427"
"7","永豐金","544","268"
"8","國泰綜合","501","267"
"9","星洲瑞銀","414","317"
"10","統一","196","297"
"23","凱崴(5498)"
"1","元大","1913","1925"
"2","凱基","956","786"
"3","富邦","672","740"
"4","國泰綜合","493","572"
"5","台新","509","485"
"6","永豐金","434","391"
"7","美商高盛亞","326","383"
"8","群益","348","327"
"9","兆豐","227","323"
"10","玉山證券","255","265"
"24","廣穎(4973)"
"1","元大","1832","1375"
